id,X,Y,zipcode,greening_rate,plot_area,first_hand,price,distance,b_subway,n_school
172588,116.3479672,39.94164664,100044,30,1.5,f,91598,0.002995348,1,0
172861,116.362152,39.89370687,100053,30,1.5,f,87564,0.001649619,1,1
172915,116.3627321,39.89849387,100053,30,1.5,f,92715,0.001421634,1,0
172921,116.3776018,39.89942865,100051,30,1.5,f,111333,0.000615314,1,0
172929,116.3627801,39.88252753,100054,30,1.5,f,99361,0.002226615,0,0
172932,116.3752358,39.87574693,100054,30,1.5,f,84022,0.002046188,1,0
172941,116.3531677,39.93379665,100037,30,1.5,f,111422,0.00217666,1,0
172987,116.3561222,39.88195496,100053,30,1.5,f,41263,0.002754674,1,0
172993,116.3357571,39.91427467,100045,30,1.5,f,79955,0.00365815,1,0
172994,116.369003,39.87799929,100054,30,1.5,f,84969,0.002171171,1,0
173285,116.3821009,39.84399351,100068,30,1.5,f,55573,0.005358394,1,0
173400,116.2918216,39.86037416,100070,30,1.5,f,49578,0.013973267,1,0
174114,116.1696419,39.92909085,100041,30,1.5,f,32075,0.051513751,1,0
174224,116.4059717,40.04871192,100192,30,1.5,f,28337,0.017755358,1,0
174349,116.328205,40.07764138,102208,30,1.5,f,47714,0.030812199,1,1
174404,116.3345026,39.72911177,102699,30,1.5,f,39560,0.038669001,1,0
174430,116.3313394,39.7092724,102600,30,1.5,f,36691,0.046871403,0,0
174436,116.3437778,39.72102232,102699,30,1.5,f,26890,0.04069632,1,0
174481,116.4497524,39.80546072,100076,30,1.5,f,37551,0.015044889,1,0
174732,116.5988165,40.12973641,101300,30,1.5,f,27874,0.086805572,0,0
174847,116.1465584,39.74053277,102401,30,1.5,f,27686,0.093056528,1,0
175556,116.111454,39.95725069,102399,30,1.5,f,20833,0.082808177,0,0
175593,116.1079972,39.96263936,102300,30,1.5,f,19798,0.085264435,0,0
278327,116.3220458,39.92723071,100037,30,1.5,f,89392,0.005632016,1,1
168300,116.5117297,39.90932092,100025,31,1.5,f,56455,0.013384729,1,0
170685,116.5058296,39.76810027,100176,31,1.5,f,46119,0.033835383,0,0
173446,116.3752243,39.8386714,100068,31,1.5,f,60311,0.006392726,1,0
170123,116.3262522,39.91122474,100038,31.5,1.5,f,121296,0.004916609,1,0
171369,116.3013209,39.84152076,100070,31.5,1.5,f,51304,0.014526216,1,0
166698,116.3730913,40.01424389,100192,31.6,1.5,f,99600,0.010222199,1,0
170552,116.329161,39.96771588,100086,32,1.5,f,87403,0.007190092,1,1
172696,116.3475761,39.88083972,100055,32,1.5,f,78553,0.003589849,1,0
171761,116.1910599,39.93347482,100041,33,1.5,f,55685,0.042402359,1,0
171972,116.3707004,40.08935529,102208,33,1.5,f,43822,0.030765747,1,0
167957,116.5255733,39.94370444,100101,33.5,1.5,f,87404,0.017509818,1,0
170631,116.2998317,39.92885238,100048,34,1.5,f,79747,0.009460547,1,1
165369,116.6904325,39.92015952,101117,35,1.5,f,55825,0.086579827,0,0
165924,116.6785693,39.90206271,101100,35,1.5,f,54834,0.07991039,1,0
165939,116.6293216,39.90089702,101199,35,1.5,f,51912,0.054559051,1,0
165989,116.6516078,39.88809058,101121,35,1.5,f,52993,0.065991849,1,0
166368,116.303624,39.9352018,100089,35,1.5,f,79109,0.008949673,1,0
166606,116.5074602,39.93417567,100025,35,1.5,f,53263,0.012711313,1,0
166944,116.4071413,39.71795605,100176,35,1.5,t,26396,0.039269418,0,0
170355,116.2869591,39.95530654,100097,35,1.5,f,103233,0.013497131,1,1
170413,116.3300004,39.92599956,100037,35,1.5,f,72378,0.004488659,1,0
170568,116.3300538,39.92643495,100037,35,1.5,f,99087,0.004490643,1,1
170575,116.332116,39.9891147,100083,35,1.5,f,107445,0.009481436,1,1
171070,116.3253457,39.77228015,102627,35,1.5,f,47301,0.025626855,1,1
171155,116.4886986,39.79486689,100176,35,1.5,f,43287,0.023181946,1,0
171806,116.4248434,40.13035503,102200,35,1.5,f,47197,0.046844578,0,0
172313,116.3469122,39.8832709,100055,35,1.5,f,59568,0.003490703,0,0
172950,116.397248,39.89611173,100051,35,1.5,f,114693,0.000389473,1,0
173646,116.2890421,39.8168337,100070,35,1.5,f,53180,0.02128539,1,0
174220,116.3052753,40.07893633,102208,35,1.5,f,43022,0.034877876,0,1
174367,116.3448275,39.80376894,100162,35,1.5,f,27098,0.015196629,0,0
190693,116.4289593,40.10328903,102209,35,1.5,f,33880,0.036216499,0,0
173055,116.3657525,39.93653064,100035,36,1.5,f,105582,0.001357199,1,1
171971,116.3749191,40.08485987,102208,38,1.5,f,38187,0.029028206,1,0
173213,116.2594984,40.05039041,100094,38,1.5,f,109080,0.036801991,0,1
174497,116.4439157,39.81658529,100076,38,1.5,f,52660,0.012122407,1,0
165302,116.6827585,39.90218516,101101,40,1.5,f,41259,0.082290221,1,0
165454,116.6880466,39.88660318,101101,40,1.5,f,38514,0.086016387,1,0
165619,116.6875548,39.87709747,101121,40,1.5,f,47987,0.0863754,1,0
165941,116.6907571,39.89070437,101100,40,1.5,f,51463,0.087382898,1,0
165949,116.6581649,39.89822558,101199,40,1.5,f,24072,0.068924694,1,0
165967,116.6479016,39.8944339,101101,40,1.5,f,50351,0.063800993,1,0
165997,116.6914625,39.88818409,101100,40,1.5,f,39057,0.087931877,1,0
166979,116.4710342,39.92952481,100026,40,1.5,f,60746,0.005784986,1,0
167189,116.4484507,39.8013161,100076,40,1.5,f,42043,0.015839189,1,0
169535,116.2500758,39.98042374,100087,40,1.5,f,69389,0.02553177,0,1
170435,116.3443313,39.97324403,100191,40,1.5,f,72491,0.005989956,1,1
170466,116.3749665,39.97181206,100088,40,1.5,f,84418,0.003586822,1,1
171106,116.4982891,39.78932828,100176,40,1.5,f,54387,0.026418256,1,0
173307,116.3632919,39.84223267,100068,40,1.5,f,75790,0.006499355,0,0
173637,116.3589005,39.79097389,100162,40,1.5,f,31854,0.016979296,0,0
174286,116.3225837,40.08517457,102208,40,1.5,f,46260,0.034103275,1,1
170453,116.2815726,40.03258521,100193,42,1.5,f,60947,0.026778141,0,0
166864,116.4733605,39.93848243,100026,45,1.5,f,62813,0.006464242,1,0
168034,116.3783359,40.00831089,100101,45,1.5,f,119863,0.008874406,1,1
168593,116.1778075,39.81963284,100072,45,1.5,f,36178,0.05695599,0,0
170429,116.3010032,39.96869914,100089,45,1.5,f,110048,0.011862442,1,1
300141,116.2884248,39.85546492,100071,32.518,1.5,f,37521,0.015262541,1,1
174485,116.3477529,39.72864251,102600,30,1.51,f,36311,0.037384473,1,0
279354,116.349263,39.72541957,102600,32.7,1.51,f,38987,0.038457284,1,0
174343,116.4131533,40.11372205,102209,38,1.51,f,40887,0.039451958,1,1
165242,116.5572514,40.06363884,101312,40,1.51,t,49092,0.047781521,0,0
167257,116.4310027,39.92031241,100010,30,1.52,f,111441,0.001230018,1,1
170297,116.3468546,40.00869225,100083,30,1.52,f,63940,0.011062198,1,0
174826,116.1904161,39.7320297,102488,30,1.52,f,46661,0.07613412,0,0
168596,116.3380318,40.02951425,100085,32,1.52,f,69408,0.016312249,0,1
169342,116.2861684,40.0337653,100094,32,1.52,f,98057,0.026022448,0,0
170444,116.2815726,40.03258521,100193,40,1.52,f,91874,0.026778141,0,1
165313,116.65962,39.86711439,101100,30,1.53,f,53202,0.071751796,0,1
171062,116.3416919,39.74189255,102699,31,1.53,f,42137,0.033224072,1,0
170526,116.2123609,40.03918425,100095,35,1.53,f,23316,0.049022907,0,0
173778,116.4069241,39.86363894,100075,10,1.54,f,51805,0.002837441,1,1
170844,116.4195002,39.92606596,100010,20,1.54,f,85060,0.000646947,1,1
168349,116.4554143,39.96560961,100028,30,1.54,f,86796,0.00598297,1,0
171930,116.3198188,40.07976686,102208,32,1.54,f,44361,0.032715716,1,0
174400,116.4552845,39.76490733,100076,36,1.54,f,28688,0.026263249,0,0
168649,116.330996,39.73539619,102600,40,1.54,f,34436,0.036806921,1,1
171066,116.327602,39.73920027,102600,43,1.54,f,51125,0.035902959,1,0
175336,116.5934796,40.05185469,100621,26,1.55,f,38569,0.057416787,0,0
167830,116.4342423,40.05265059,100022,30,1.55,t,76618,0.020168306,0,1
165998,116.6680018,39.87665171,101121,31,1.55,f,49029,0.075399502,1,1
174204,116.3173416,40.07623661,102208,35,1.55,f,41286,0.031955291,1,0
174384,116.4000042,39.71420698,102600,35,1.55,f,35174,0.04066213,0,0
168122,116.5584379,39.9224092,100024,30,1.56,f,49602,0.026358065,1,0
168025,116.5973499,39.88682216,100121,30.2,1.56,f,42293,0.041294111,1,0
167289,116.3132789,39.85005972,100070,35,1.56,f,65854,0.01120364,1,0
166586,116.5584076,39.92248119,100024,40,1.56,f,47257,0.026349189,1,0
167279,116.5586269,39.92081757,100024,40,1.56,f,51180,0.026400977,1,0
278352,116.3630188,39.88387419,100053,20,1.57,f,69296,0.002122854,1,0
168703,116.4369547,39.89322804,100062,30,1.57,f,97299,0.002169712,1,1
169515,116.3586302,39.96723764,100088,30,1.57,f,63682,0.004056767,1,0
168530,116.2941074,40.02382117,100091,31,1.57,f,86690,0.022091236,1,0
166629,116.4393234,40.03147595,100011,36,1.57,f,60763,0.015234202,0,1
169301,116.3078991,39.96632577,100089,25,1.58,f,74013,0.010351414,1,0
165018,116.5518959,40.10376644,101318,30,1.58,f,44358,0.05955885,1,0
165825,116.1026242,39.94621911,102399,30,1.58,f,25177,0.0871226,0,0
169547,116.3418109,39.96472464,100098,30,1.58,f,76396,0.005352014,1,0
